step,residual,mass
508,7.9098440304280215e-04,5.1886804989952305e-05
509,7.8949629503616888e-04,5.2076561083025657e-05
510,7.8801383352711577e-04,5.2266346650251273e-05
511,7.8653698524111483e-04,5.2456160740174183e-05
512,7.8506571716891534e-04,5.2646002409423325e-05
513,7.8359999656367723e-04,5.2835870722385156e-05
514,7.8213979093846636e-04,5.3025764751289118e-05
515,7.8068506806366195e-04,5.3215683576231140e-05
516,7.7923579596444266e-04,5.3405626284996575e-05
517,7.7779194291823102e-04,5.3595591972901231e-05
518,7.7635347745227392e-04,5.3785579743097706e-05
519,7.7492036834104919e-04,5.3975588706111038e-05
520,7.7349258460411292e-04,5.4165617979974594e-05
521,7.7207009550335579e-04,5.4355666690320657e-05
522,7.7065287054090556e-04,5.4545733970065464e-05
523,7.6924087945666876e-04,5.4735818959464090e-05
524,7.6783409222603443e-04,5.4925920806105057e-05
525,7.6643247905760332e-04,5.5116038664806829e-05
526,7.6503601039087596e-04,5.5306171697580323e-05
527,7.6364465689407089e-04,5.5496319073543166e-05
528,7.6225838946194743e-04,5.5686479968957213e-05
529,7.6087717921347975e-04,5.5876653567070524e-05
530,7.5950099748989480e-04,5.6066839058155646e-05
531,7.5812981585233856e-04,5.6257035639383521e-05
532,7.5676360607991296e-04,5.6447242514787816e-05
533,7.5540234016756227e-04,5.6637458895327526e-05
534,7.5404599032391148e-04,5.6827683998663227e-05
535,7.5269452896939513e-04,5.7017917049293978e-05
536,7.5134792873406510e-04,5.7208157278243751e-05
